Project,Package,Class,Smell,Description,File
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitLibraryAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.VersionAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitVersionAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.BundleAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.PluginAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitVersionAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.BundleAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.PluginAccessors,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
